SubPlot;idTree;Xfield;Yfield;Family;Genus;Species;CircCorr
3;226951;97,5000000000000;24,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;32,500000000000
3;226952;93,0000000000000;62,00000000000000;Meliaceae;Carapa;surinamensis;39,000000000000
3;226954;125,0000000000000;97,50000000000000;Chrysobalanaceae;Licania;alba;34,500000000000
3;236711;110,5000000000000;94,00000000000000;Clusiaceae;Tovomita;sp.11-CAY;32,500000000000
3;236712;110,5000000000000;64,50000000000000;Melastomataceae;Mouriri;crassifolia;32,500000000000
3;236713;123,5000000000000;52,50000000000000;Sapotaceae;Pouteria;cicatricata;32,500000000000
3;236714;19,5000000000000;13,00000000000000;Annonaceae;Oxandra;asbeckii;33,500000000000
3;236715;28,5000000000000;74,00000000000000;Clusiaceae;Tovomita;sp.2-CAY;32,500000000000
3;236716;41,5000000000000;124,50000000000000;Lauraceae;Sextonia;rubra;34,500000000000
3;240982;87,0000000000000;105,50000000000000;Apocynaceae;Aspidosperma;cruentum;33,000000000000
3;240983;71,5000000000000;117,50000000000000;Urticaceae;Cecropia;obtusa;42,000000000000
3;240984;47,0000000000000;2,50000000000000;Melastomataceae;Mouriri;crassifolia;32,500000000000
3;240985;52,0000000000000;17,00000000000000;Euphorbiaceae;Hevea;guianensis;40,500000000000
3;240986;51,0000000000000;45,50000000000000;Annonaceae;Oxandra;asbeckii;35,000000000000
3;240987;40,5000000000000;28,00000000000000;Euphorbiaceae;Mabea;piriri;33,000000000000
3;240988;38,0000000000000;49,00000000000000;Euphorbiaceae;Sandwithia;guyanensis;33,000000000000
3;240989;26,5000000000000;93,50000000000000;Lecythidaceae;Indet.Lecythidaceae;Indet.;33,500000000000
3;249692;123,5000000000000;85,50000000000000;Fabaceae;Vouacapoua;americana;34,000000000000
3;249693;101,5000000000000;61,50000000000000;Lecythidaceae;Gustavia;hexapetala;32,500000000000
3;249694;92,5000000000000;73,00000000000000;Peraceae;Pogonophora;schomburgkiana;33,500000000000
3;249695;107,0000000000000;48,00000000000000;Fabaceae;Eperua;falcata;32,500000000000
3;249696;96,0000000000000;32,50000000000000;Melastomataceae;Henriettea;flavescens;38,000000000000
3;249697;61,0000000000000;10,00000000000000;Lecythidaceae;Eschweilera;sagotiana;33,000000000000
3;249698;59,5000000000000;16,50000000000000;Meliaceae;Carapa;surinamensis;35,500000000000
3;249699;56,5000000000000;32,50000000000000;Fabaceae;Inga;Indet.;33,500000000000
3;249700;69,0000000000000;43,00000000000000;Chrysobalanaceae;Hymenopus;heteromorphus;34,000000000000
3;249701;52,5000000000000;52,50000000000000;Cordiaceae;Cordia;sagotii;38,500000000000
3;249702;77,5000000000000;58,50000000000000;Fabaceae;Recordoxylon;speciosum;32,000000000000
3;249703;73,5000000000000;59,00000000000000;Sapindaceae;Cupania;scrobiculata;34,000000000000
3;249704;69,5000000000000;56,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;35,500000000000
3;249705;68,0000000000000;61,00000000000000;Melastomataceae;Miconia;acuminata;37,500000000000
3;249706;75,5000000000000;67,00000000000000;Salicaceae;Casearia;javitensis;32,500000000000
3;249707;77,0000000000000;77,50000000000000;Violaceae;Indet.Violaceae;Indet.;33,500000000000
3;249708;12,0000000000000;21,50000000000000;Annonaceae;Oxandra;asbeckii;33,000000000000
3;249709;32,5000000000000;85,50000000000000;Meliaceae;Guarea;pubescens subsp. pubescens;33,000000000000
3;249710;31,5000000000000;35,50000000000000;Moraceae;Brosimum;rubescens;32,000000000000
3;249711;38,0000000000000;44,00000000000000;Melastomataceae;Votomita;guianensis;32,000000000000
3;249712;39,0000000000000;94,50000000000000;Clusiaceae;Symphonia;sp.1;33,000000000000
3;257777;111,5000000000000;3,00000000000000;Fabaceae;Ormosia;paraensis;33,000000000000
3;257778;98,0000000000000;53,00000000000000;Chrysobalanaceae;Licania;alba;31,500000000000
3;257779;103,5000000000000;75,00000000000000;Fabaceae;Eperua;falcata;32,000000000000
3;257780;113,0000000000000;89,00000000000000;Peraceae;Pogonophora;schomburgkiana;32,000000000000
3;257781;121,5000000000000;102,00000000000000;Malvaceae;Sterculia;Indet.;32,000000000000
3;257782;73,0000000000000;112,00000000000000;Rubiaceae;Duroia;aquatica;32,000000000000
3;257783;75,5000000000000;102,50000000000000;Lecythidaceae;Eschweilera;sagotiana;31,500000000000
3;257784;80,5000000000000;106,50000000000000;Annonaceae;Oxandra;asbeckii;31,500000000000
3;257785;59,5000000000000;99,00000000000000;Rubiaceae;Duroia;aquatica;31,500000000000
3;257786;77,5000000000000;83,50000000000000;Myristicaceae;Virola;michelii;32,000000000000
3;257787;84,0000000000000;68,50000000000000;Clusiaceae;Tovomita;Indet.;33,500000000000
3;257788;73,5000000000000;63,50000000000000;Clusiaceae;Platonia;insignis;32,500000000000
3;257789;60,5000000000000;64,50000000000000;Cordiaceae;Cordia;sagotii;32,500000000000
3;257790;4,5000000000000;85,00000000000000;Fabaceae;Eperua;grandiflora;31,500000000000
4;103928;130,0000000000000;0,50000000000000;Melastomataceae;Mouriri;crassifolia;65,500000000000
4;103929;129,5000000000000;3,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;75,000000000000
4;103930;130,0000000000000;3,50000000000000;Euphorbiaceae;Sagotia;racemosa;36,500000000000
4;103931;126,0000000000000;12,50000000000000;Myristicaceae;Iryanthera;hostmannii;53,500000000000
4;103932;130,0000000000000;17,00000000000000;Meliaceae;Trichilia;schomburgkii;57,500000000000
4;103933;129,0000000000000;18,00000000000000;Sapotaceae;Chrysophyllum;prieurii;65,000000000000
4;103934;126,0000000000000;21,00000000000000;Fabaceae;Swartzia;polyphylla;173,310000000000
4;103935;125,5000000000000;21,50000000000000;Sapotaceae;Pradosia;cochlearia;50,000000000000
4;103937;125,5000000000000;25,00000000000000;Fabaceae;Eperua;falcata;136,000000000000
4;103938;129,0000000000000;29,50000000000000;Fabaceae;Vouacapoua;americana;115,750000000000
4;103939;127,5000000000000;34,00000000000000;Fabaceae;Dicorynia;guianensis;317,000000000000
4;103940;130,0000000000000;36,50000000000000;Lecythidaceae;Couratari;multiflora;42,000000000000
4;103941;127,5000000000000;38,00000000000000;Fabaceae;Eperua;falcata;62,000000000000
4;103942;127,0000000000000;42,00000000000000;Malvaceae;Eriotheca;globosa;49,000000000000
4;103943;127,5000000000000;42,50000000000000;Anacardiaceae;Anacardium;spruceanum;66,000000000000
4;103944;128,5000000000000;50,50000000000000;Malvaceae;Sterculia;speciosa;54,000000000000
4;103945;128,0000000000000;53,00000000000000;Sapotaceae;Pradosia;cochlearia;102,000000000000
4;103946;130,0000000000000;58,00000000000000;Fabaceae;Eperua;grandiflora;154,000000000000
4;103948;130,0000000000000;64,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;43,500000000000
4;103952;125,5000000000000;79,50000000000000;Chrysobalanaceae;Licania;alba;86,000000000000
4;103954;126,0000000000000;84,00000000000000;Rubiaceae;Chimarrhis;turbinata;99,250000000000
4;103956;125,5000000000000;88,50000000000000;Chrysobalanaceae;Licania;canescens;80,000000000000
4;103957;125,5000000000000;90,50000000000000;Apocynaceae;Ambelania;acida;45,500000000000
4;103958;125,5000000000000;92,00000000000000;Clusiaceae;Tovomita;brevistaminea;41,000000000000
4;103959;129,0000000000000;92,50000000000000;Clusiaceae;Moronobea;coccinea;163,000000000000
4;103961;128,0000000000000;106,50000000000000;Chrysobalanaceae;Licania;alba;58,500000000000
4;103962;126,0000000000000;109,00000000000000;Lecythidaceae;Gustavia;hexapetala;44,000000000000
4;103963;128,0000000000000;114,00000000000000;Apocynaceae;Aspidosperma;cruentum;113,000000000000
4;103964;128,0000000000000;116,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;86,500000000000
4;103965;129,0000000000000;118,00000000000000;Fabaceae;Dicorynia;guianensis;109,000000000000
4;103967;131,5000000000000;119,00000000000000;Fabaceae;Dicorynia;guianensis;52,000000000000
4;103969;167,5000000000000;83,00000000000000;Apocynaceae;Ambelania;acida;42,000000000000
4;103971;138,0000000000000;105,50000000000000;Fabaceae;Eperua;falcata;125,500000000000
4;103973;136,5000000000000;102,00000000000000;Lecythidaceae;Lecythis;zabucajo;131,500000000000
4;103976;132,0000000000000;97,50000000000000;Sapotaceae;Pradosia;cochlearia;118,000000000000
4;103977;131,5000000000000;91,50000000000000;Moraceae;Helicostylis;tomentosa;50,000000000000
4;103978;126,0000000000000;51,50000000000000;Putranjivaceae;Drypetes;fanshawei;51,500000000000
4;103982;136,0000000000000;85,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;50,000000000000
4;103985;132,0000000000000;83,00000000000000;Fabaceae;Eperua;falcata;182,500000000000
4;103987;132,5000000000000;77,00000000000000;Malvaceae;Catostemma;fragrans;88,000000000000
4;103988;135,5000000000000;77,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;69,000000000000
4;103990;134,0000000000000;75,00000000000000;Fabaceae;Eperua;falcata;73,000000000000
4;103991;135,5000000000000;66,50000000000000;Linaceae;Hebepetalum;humiriifolium;68,000000000000
4;103993;132,5000000000000;55,00000000000000;Fabaceae;Eperua;falcata;109,000000000000
4;103994;136,0000000000000;55,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;44,000000000000
4;103995;136,0000000000000;54,50000000000000;Malvaceae;Sterculia;speciosa;66,000000000000
4;103997;137,0000000000000;47,00000000000000;Lecythidaceae;Lecythis;chartacea;189,000000000000
4;104004;135,5000000000000;36,00000000000000;Sapotaceae;Pradosia;cochlearia;52,500000000000
4;104005;132,5000000000000;36,00000000000000;Fabaceae;Eperua;falcata;103,500000000000
4;104006;132,0000000000000;33,00000000000000;Myristicaceae;Iryanthera;sagotiana;73,500000000000
4;104007;136,0000000000000;32,00000000000000;Malvaceae;Theobroma;guianense;83,750000000000
4;104008;135,0000000000000;29,00000000000000;Malvaceae;Theobroma;guianense;61,500000000000
4;104009;135,0000000000000;29,00000000000000;Sapotaceae;Chrysophyllum;sanguinolentum;80,000000000000
4;104011;135,5000000000000;22,50000000000000;Chrysobalanaceae;Licania;alba;55,000000000000
